Extension,Load
0,-0.01427
0.008,-0.01299
0.0188,-0.01221
0.0292,-0.01506
0.03987,-0.01395
0.04973,-0.01502
0.0596,-0.01518
0.07027,-0.0113
0.07973,-0.01389
0.08987,-0.01877
0.1004,-0.01282
0.10987,-0.01544
0.12013,-0.01703
0.13053,-0.01526
0.14013,-0.01336
0.15027,-0.01354
0.1604,-0.01483
0.17,-0.01373
0.18,-0.0122
0.1904,-0.01861
0.19987,-0.01546
0.21013,-0.01489
0.22053,-0.01039
0.23,-0.01331
0.24027,-0.01352
0.25067,-0.01724
0.26,-0.0165
0.2704,-0.01557
0.28053,-0.0135
0.2896,-0.01613
0.30027,-0.014
0.3104,-0.01734
0.31987,-0.01409
0.33013,-0.01569
0.34027,-0.01049
0.35,-0.0141
0.36027,-0.01611
0.3704,-0.01515
0.38,-0.01388
0.39013,-0.0149
0.40067,-0.01402
0.41,-0.01684
0.42027,-0.01757
0.43053,-0.01356
0.43987,-0.01568
0.45027,-0.01515
0.46013,-0.01862
0.46973,-0.01429
0.4804,-0.01667
0.49027,-0.01571
0.5,-0.01742
0.5104,-0.01366
0.52027,-0.01669
0.53013,-0.01654
0.54053,-0.01429
0.5504,-0.01535
0.56,-0.01642
0.57027,-0.01609
0.58027,-0.01324
0.58973,-0.01489
0.60027,-0.01359
0.61013,-0.01392
0.61987,-0.01461
0.63053,-0.01334
0.64,-0.0181
0.64987,-0.01931
0.66067,-0.01704
0.67013,-0.01502
0.68013,-0.01736
0.69053,-0.01644
0.7,-0.01653
0.70987,-0.01622
0.72027,-0.01385
0.73,-0.01477
0.73987,-0.01738
0.75067,-0.0153
0.76027,-0.01721
0.77013,-0.01661
0.78067,-0.01499
0.79,-0.01662
0.80013,-0.01357
0.81067,-0.01726
0.82,-0.0174
0.83027,-0.01428
0.84053,-0.01426
0.84987,-0.01648
0.86013,-0.01399
0.8704,-0.01718
0.88,-0.01719
0.89027,-0.01715
0.90053,-0.01518
0.91013,-0.01824
0.91987,-0.01547
0.93053,-0.01727
0.94013,-0.01574
0.95013,-0.0166
0.96067,-0.01707
0.96987,-0.0141
0.98,-0.01148
0.9904,-0.01377
0.9996,-0.01522
1.01,-0.01321
1.0204,-0.01336
1.03,-0.0053
1.0404,-0.00505
1.0504,-0.00259
1.06013,-0.00179
1.07027,0.00453
1.08053,0.00635
1.09013,0.01024
1.10013,0.0135
1.1104,0.0192
1.11987,0.02938
1.13,0.03375
1.1404,0.03881
1.14987,0.04423
1.16027,0.05554
1.17027,0.06514
1.17987,0.07583
1.1904,0.08639
1.2004,0.09618
1.21,0.10305
1.2204,0.11632
1.2304,0.12698
1.24,0.13966
1.25027,0.15493
1.2604,0.16455
1.27,0.17937
1.28027,0.19415
1.2904,0.20656
1.3,0.21938
1.31053,0.23667
1.3204,0.25017
1.33013,0.2629
1.34053,0.28147
1.35027,0.30038
1.36013,0.31406
1.37053,0.33482
1.38,0.35265
1.39,0.36808
1.40027,0.38684
1.41027,0.40978
1.42013,0.42784
1.43027,0.443
1.4404,0.46463
1.45,0.49082
1.46027,0.50657
1.47013,0.52859
1.47987,0.55039
1.4904,0.57531
1.50013,0.5936
1.50987,0.62135
1.52027,0.65075
1.53,0.67916
1.53987,0.70501
1.5504,0.73744
1.56,0.76357
1.57013,0.7951
1.5804,0.83159
1.59013,0.86445
1.60027,0.90347
1.6104,0.94041
1.62013,0.97638
1.63,1.01942
1.6404,1.06384
1.65013,1.10955
1.66,1.15579
1.67053,1.20961
1.68,1.25489
1.69013,1.30363
1.70053,1.35902
1.70987,1.40836
1.72027,1.4618
1.73067,1.51682
1.74027,1.57083
1.75027,1.62355
1.76053,1.68285
1.77,1.73462
1.78,1.78468
1.7904,1.84058
1.79987,1.89048
1.81,1.93804
1.82053,1.9895
1.82987,2.02996
1.84013,2.07735
1.85053,2.12057
1.86,2.15604
1.8704,2.20031
1.88067,2.23536
1.89,2.27247
1.9004,2.31796
1.9104,2.35734
1.91987,2.40155
1.93013,2.44459
1.94027,2.49136
1.95,2.53574
1.96013,2.58381
1.9704,2.63541
1.98,2.67631
1.99013,2.73389
2.00067,2.78516
2.01,2.83591
2.0204,2.88513
2.03053,2.94663
2.03987,2.99562
2.05027,3.05082
2.06027,3.10783
2.06973,3.1618
2.0804,3.22376
2.0904,3.28279
2.10013,3.33877
2.1104,3.40298
2.12027,3.45805
2.13013,3.51476
2.1404,3.57755
2.1504,3.6383
2.16,3.69266
2.1704,3.75609
2.18027,3.81455
2.18987,3.87042
2.20027,3.93277
2.21027,3.99136
2.21987,4.04766
2.2304,4.10873
2.24027,4.16447
2.25,4.21907
2.26053,4.27907
2.27027,4.33604
2.28027,4.38883
2.29053,4.45063
