Extension,Load
-0.51773,-0.04937
-0.51453,-0.05121
-0.50293,-0.05099
-0.49067,-0.05245
-0.47973,-0.05096
-0.4688,-0.05379
-0.458,-0.05313
-0.44813,-0.05261
-0.43813,-0.05285
-0.4276,-0.05462
-0.41813,-0.05404
-0.408,-0.05532
-0.39733,-0.05292
-0.388,-0.05625
-0.37773,-0.05849
-0.36733,-0.05725
-0.35773,-0.05793
-0.34747,-0.05985
-0.3372,-0.05561
-0.32787,-0.05734
-0.31747,-0.05954
-0.3076,-0.06237
-0.298,-0.06203
-0.2876,-0.06588
-0.27747,-0.06051
-0.26787,-0.06388
-0.25773,0.38331
-0.2476,2.12862
-0.23787,3.48072
-0.2276,5.37807
-0.21733,7.36681
-0.20787,8.81061
-0.19747,10.43848
-0.18747,12.26375
-0.17813,14.16878
-0.1676,16.80638
-0.15773,19.72428
-0.14813,22.54029
-0.1376,25.77644
-0.12773,28.79778
-0.11787,31.69922
-0.10733,34.82064
-0.0976,37.65312
-0.08773,40.54231
-0.07733,43.56047
-0.06747,46.48519
-0.05773,49.33514
-0.04747,52.36507
-0.03773,55.48243
-0.028,58.53982
-0.01747,62.00369
-0.00773,65.30638
0.002,68.5243
0.01267,72.04103
0.02227,75.39548
0.03213,78.79784
