Extension,Load
-27.56733,0.00036
-27.56386,-0.00004
-27.55213,-0.00228
-27.53986,-0.00178
-27.52933,-0.0038
-27.51826,-0.00054
-27.50773,-0.00117
-27.498,0.00176
-27.4876,0.0001
-27.47733,-0.00479
-27.46746,-0.00244
-27.4572,-0.00524
-27.44693,-0.00247
-27.43733,-0.00154
-27.4272,-0.0004
-27.41693,0.00105
-27.40733,0.00138
-27.39706,-0.00076
-27.38693,-0.00161
-27.3776,-0.00264
-27.36706,-0.00218
-27.3572,-0.00243
-27.3476,-0.00179
-27.33706,-0.00194
-27.3272,-0.00029
-27.31733,-0.00148
-27.30693,-0.00003
-27.2972,-0.00205
-27.28733,0.00362
-27.27706,-0.00183
-27.26706,-0.00155
-27.25733,-0.00027
-27.24706,-0.0043
-27.2372,0.00341
-27.2276,-0.00325
-27.21706,-0.00281
-27.20733,-0.00055
-27.19746,-0.0005
-27.18693,-0.0012
-27.1772,-0.0008
-27.16733,-0.00064
-27.1568,-0.00041
-27.1472,-0.0005
-27.1372,0.00251
-27.12693,-0.00235
-27.11733,0.00177
-27.10733,-0.00209
-27.09706,0.00181
-27.08733,-0.00139
-27.07746,-0.00093
-27.06693,0.00112
-27.05733,-0.00473
-27.04733,0.00043
-27.0368,0.00082
-27.02733,-0.0014
-27.0172,0.00161
-27.0068,-0.0004
-26.99733,-0.00288
-26.98706,-0.00003
-26.97706,-0.00156
-26.9676,0.00148
-26.95746,0.00157
-26.9472,0.00242
-26.93733,-0.00301
-26.92733,-0.00168
-26.91693,0.00063
-26.90733,-0.00055
-26.89733,0.0047
-26.88666,0.00547
-26.8772,0.00123
-26.8672,0.00031
-26.8568,0.00106
-26.84746,0.0038
-26.83733,0.00517
-26.82693,0.00326
-26.81773,0.00097
-26.8072,0.00602
-26.79706,0.00186
-26.78746,0.00005
-26.77693,0.0009
-26.76693,0.00544
-26.7572,-0.00096
-26.74693,0.00348
-26.7368,0.00524
-26.72733,0.00442
-26.7172,0.00297
-26.70693,0.00383
-26.6976,0.00274
-26.6872,0.00713
-26.67706,0.00362
-26.6676,0.00573
-26.65706,0.00505
-26.64706,0.00283
-26.63746,0.00664
-26.62693,0.0062
-26.61693,0.00738
-26.6072,0.0048
-26.59693,0.01027
-26.58706,0.00944
-26.57746,0.00717
-26.56706,0.00804
-26.5572,0.01025
-26.5476,0.01102
-26.53693,0.00964
-26.5272,0.01321
-26.51746,0.01267
-26.50693,0.01159
-26.4972,0.01294
-26.48746,0.01675
-26.4768,0.01513
-26.4672,0.01642
-26.45733,0.01925
-26.4468,0.0161
-26.43733,0.01894
-26.42746,0.02167
-26.41706,0.0203
-26.40746,0.01888
-26.39746,0.02139
-26.38706,0.02682
-26.3772,0.02602
-26.36746,0.02881
-26.3568,0.02441
-26.3472,0.02538
-26.33733,0.03025
-26.32666,0.02809
-26.31733,0.03572
-26.30746,0.03541
-26.2968,0.03519
-26.2876,0.03717
-26.27733,0.039
-26.2668,0.04219
-26.25746,0.04302
-26.2472,0.04761
-26.2368,0.04934
-26.2272,0.05115
-26.21706,0.05098
-26.2068,0.05304
-26.19733,0.05363
-26.18733,0.05645
-26.17693,0.05554
-26.16746,0.05978
-26.15746,0.065
-26.14693,0.0634
-26.1376,0.06444
-26.12733,0.06613
-26.11693,0.07077
-26.1076,0.07408
-26.0972,0.07911
-26.0868,0.07777
-26.07733,0.0794
-26.06706,0.0869
-26.05706,0.08891
-26.0476,0.08986
-26.03746,0.08897
-26.02693,0.09626
-26.01746,0.0942
-26.0072,0.09361
-25.9968,0.10049
-25.98746,0.10743
-25.97693,0.10612
-25.9668,0.10644
-25.95746,0.10988
-25.94693,0.1136
-25.9368,0.11437
-25.92733,0.11885
-25.91693,0.11816
-25.90706,0.12112
-25.89746,0.12377
-25.88706,0.12515
-25.8772,0.12937
-25.86746,0.13245
-25.85706,0.13662
-25.84693,0.1421
-25.83746,0.14489
-25.8272,0.15092
-25.8168,0.1658
-25.80746,0.17454
-25.79706,0.18919
-25.78706,0.203
-25.7776,0.22136
-25.76706,0.23358
-25.75733,0.25265
-25.7476,0.27369
-25.73706,0.29562
-25.7272,0.31442
-25.71733,0.33212
-25.70693,0.35689
-25.6972,0.37535
-25.68733,0.40147
-25.67693,0.4196
-25.66706,0.44177
-25.65733,0.46575
-25.64706,0.4906
-25.6372,0.51889
-25.6276,0.54315
-25.61706,0.5635
-25.60733,0.59268
-25.59746,0.61975
-25.58693,0.6478
-25.57733,0.67339
-25.56733,0.69942
