Extension,Load
-26.0976,-0.00613
-26.09413,-0.00819
-26.0828,-0.00232
-26.07106,-0.0075
-26.05933,-0.00468
-26.04893,-0.00299
-26.038,-0.00477
-26.02786,-0.00307
-26.01786,-0.00235
-26.0072,-0.00422
-25.99746,-0.00244
-25.9876,0.00012
-25.9772,-0.00265
-25.96746,-0.00573
-25.95773,-0.00518
-25.94746,-0.00573
-25.93746,-0.00559
-25.92773,-0.00606
-25.91733,-0.00647
-25.90746,-0.00484
-25.8976,-0.00645
-25.88706,-0.00624
-25.87746,-0.00689
-25.86733,-0.00654
-25.8568,-0.0046
-25.84733,-0.00422
-25.83746,-0.00312
-25.82706,-0.00575
-25.81773,-0.00589
-25.8076,-0.00325
-25.79733,-0.00663
-25.7876,-0.00489
-25.7776,-0.00509
-25.76733,-0.00392
-25.75746,-0.00785
-25.7476,-0.00847
-25.73693,-0.00561
-25.72746,-0.00749
-25.7176,-0.00433
-25.70706,-0.00335
-25.69773,-0.0072
-25.68773,-0.0045
-25.6772,-0.00801
-25.66786,-0.00702
-25.6576,-0.0061
-25.64733,-0.0067
-25.6376,-0.00433
-25.62733,-0.0038
-25.61733,-0.0056
-25.6076,-0.00574
-25.59746,-0.00752
-25.5872,-0.01121
-25.57773,-0.0051
-25.5676,-0.01049
-25.5572,-0.00892
-25.54773,-0.00876
-25.5376,-0.00411
-25.5272,-0.00721
-25.51786,-0.00902
-25.5076,-0.00971
-25.4972,-0.0098
-25.48773,-0.0086
-25.47733,-0.00917
-25.46706,-0.00787
-25.4576,-0.00666
-25.44733,-0.00808
-25.4372,-0.00609
-25.42773,-0.01058
-25.41746,-0.00898
-25.40733,-0.00828
-25.39773,-0.00585
-25.38746,-0.0131
-25.37706,-0.00653
-25.36773,-0.00617
-25.3572,-0.01015
-25.34706,-0.00574
-25.33746,-0.01217
-25.32706,-0.00848
-25.31733,-0.00989
-25.3076,-0.00992
-25.2972,-0.00993
-25.28746,-0.01
-25.27773,-0.01063
-25.26746,-0.01004
-25.25746,-0.01317
-25.2476,-0.01042
-25.23733,-0.00938
-25.22733,-0.01435
-25.21773,-0.01225
-25.2072,-0.00714
-25.19733,-0.0102
-25.18773,-0.01395
-25.1772,-0.01019
-25.16746,-0.01391
-25.15786,-0.01081
-25.1472,-0.01013
-25.13773,-0.01172
-25.12786,-0.01076
-25.1172,-0.01213
-25.1076,-0.01232
-25.0976,-0.01148
-25.0872,-0.01046
-25.07746,-0.01334
-25.06746,-0.01574
-25.0572,-0.01551
-25.04733,-0.01348
-25.0376,-0.01205
-25.0272,-0.0116
-25.0176,-0.013
-25.00773,-0.0109
-24.9972,-0.01607
-24.98773,-0.0153
-24.97773,-0.01465
-24.96706,-0.01486
-24.95773,-0.01574
-24.9476,-0.01226
-24.93706,-0.01586
-24.9276,-0.01339
-24.91746,-0.01638
-24.9072,-0.01184
-24.89773,-0.01437
-24.88773,-0.01739
-24.8772,-0.01152
-24.86773,-0.01534
-24.85773,-0.01829
-24.8472,-0.02184
-24.8376,-0.01385
-24.82746,-0.0173
-24.81706,-0.0194
-24.8076,-0.02066
-24.79733,-0.01457
-24.78693,-0.01783
-24.7776,-0.01695
-24.76733,-0.00526
-24.7572,0.6256
-24.74773,1.44393
-24.73746,3.27123
-24.72733,5.00821
-24.71773,6.30331
-24.7076,7.73277
-24.69906,9.09229
